TEAM_ID,TEAM_NAME,W_PCT,SEASON,FG3M_RANK,FG3A_RANK,FG3_PCT,PLUS_MINUS
1610612747,Los Angeles Lakers,0.938,2000-01,4,8,0.386,12.8
1610612755,Philadelphia 76ers,0.522,2000-01,14,14,0.336,-0.1
1610612747,Los Angeles Lakers,0.789,2001-02,5,4,0.339,3.8
1610612751,New Jersey Nets,0.55,2001-02,13,9,0.285,-0.1
1610612751,New Jersey Nets,0.7,2002-03,14,14,0.35,3.4
1610612759,San Antonio Spurs,0.667,2002-03,9,12,0.351,5.5
1610612765,Detroit Pistons,0.696,2003-04,14,13,0.304,6.4
1610612747,Los Angeles Lakers,0.591,2003-04,8,8,0.321,0.9
1610612765,Detroit Pistons,0.6,2004-05,15,15,0.326,4.7
1610612759,San Antonio Spurs,0.696,2004-05,5,8,0.389,4.3
1610612742,Dallas Mavericks,0.609,2005-06,12,11,0.317,4.1
1610612748,Miami Heat,0.696,2005-06,6,6,0.333,3.8
1610612739,Cleveland Cavaliers,0.6,2006-07,12,12,0.326,2.2
1610612759,San Antonio Spurs,0.8,2006-07,3,7,0.384,4.0
1610612738,Boston Celtics,0.615,2007-08,7,10,0.359,5.2
1610612747,Los Angeles Lakers,0.667,2007-08,5,8,0.367,2.2
1610612747,Los Angeles Lakers,0.696,2008-09,6,9,0.377,7.2
1610612753,Orlando Magic,0.542,2008-09,1,1,0.36,1.8
1610612738,Boston Celtics,0.625,2009-10,11,13,0.363,2.8
1610612747,Los Angeles Lakers,0.696,2009-10,4,4,0.33,3.8
1610612742,Dallas Mavericks,0.762,2010-11,1,3,0.394,5.8
1610612748,Miami Heat,0.667,2010-11,9,8,0.331,2.7
1610612748,Miami Heat,0.696,2011-12,4,4,0.347,7.1
1610612760,Oklahoma City Thunder,0.65,2011-12,5,5,0.355,4.0
1610612748,Miami Heat,0.696,2012-13,6,9,0.381,6.4
1610612759,San Antonio Spurs,0.714,2012-13,5,7,0.378,7.0
1610612748,Miami Heat,0.65,2013-14,3,5,0.396,1.8
1610612759,San Antonio Spurs,0.696,2013-14,5,10,0.409,9.3
1610612739,Cleveland Cavaliers,0.7,2014-15,2,2,0.34,4.0
1610612744,Golden State Warriors,0.762,2014-15,1,1,0.374,7.8
1610612739,Cleveland Cavaliers,0.762,2015-16,2,5,0.406,8.6
1610612744,Golden State Warriors,0.625,2015-16,1,1,0.393,4.4
1610612739,Cleveland Cavaliers,0.722,2016-17,1,4,0.42,7.9
1610612744,Golden State Warriors,0.941,2016-17,4,5,0.386,13.5
1610612739,Cleveland Cavaliers,0.545,2017-18,9,5,0.331,-1.7
1610612744,Golden State Warriors,0.762,2017-18,2,3,0.357,10.0
1610612744,Golden State Warriors,0.636,2018-19,3,10,0.372,3.4
1610612761,Toronto Raptors,0.667,2018-19,4,5,0.346,5.5
1610612747,Los Angeles Lakers,0.762,2019-20,11,11,0.354,6.9
1610612748,Miami Heat,0.667,2019-20,8,10,0.359,2.0
1610612749,Milwaukee Bucks,0.696,2020-21,10,9,0.321,5.1
1610612756,Phoenix Suns,0.636,2020-21,11,14,0.376,4.5
1610612738,Boston Celtics,0.583,2021-22,4,4,0.373,3.6
1610612744,Golden State Warriors,0.727,2021-22,2,2,0.375,5.0
1610612743,Denver Nuggets,0.8,2022-23,10,15,0.375,8.3
1610612748,Miami Heat,0.565,2022-23,5,10,0.38,1.5
1610612738,Boston Celtics,0.842,2023-24,1,1,0.36,8.1
1610612742,Dallas Mavericks,0.591,2023-24,6,6,0.36,2.6
